Código departamento,Código municipio,Código centro poblado,Nombre departamento,Nombre municipio,Nombre centro poblado,Tipo centro poblado,Longitud,Latitud
05,05001,05001000,ANTIOQUIA,MEDELLÍN,MEDELLÍN,CABECERA MUNICIPAL,-74.88681663,5.610109776
05,05001,05001001,ANTIOQUIA,MEDELLÍN,PALMITAS,CABECERA CORREGIMIENTO MUNICIPAL,-75.69003897,6.343340893
05,05001,05001004,ANTIOQUIA,MEDELLÍN,SANTA ELENA,CABECERA CORREGIMIENTO MUNICIPAL,-75.50191439,6.209717879
05,05001,05001009,ANTIOQUIA,MEDELLÍN,ALTAVISTA,CABECERA CORREGIMIENTO MUNICIPAL,-75.62855561,6.223149943
05,05001,05001010,ANTIOQUIA,MEDELLÍN,AGUAS FRÍAS,CABECERA CORREGIMIENTO MUNICIPAL,-75.63526057,6.232665008
05,05001,05001012,ANTIOQUIA,MEDELLÍN,LA LOMA,CENTRO POBLADO,-75.62975024,6.268909548
05,05001,05001013,ANTIOQUIA,MEDELLÍN,SAN JOSÉ DEL MANZANILLO,CENTRO POBLADO,-75.61325372,6.205992383
05,05001,05001014,ANTIOQUIA,MEDELLÍN,BARRO BLANCO,CENTRO POBLADO,-75.47752748,6.235244758
05,05001,05001015,ANTIOQUIA,MEDELLÍN,EL CERRO,CENTRO POBLADO,-75.49104101,6.202030529
05,05001,05001017,ANTIOQUIA,MEDELLÍN,EL PATIO,CENTRO POBLADO,-75.65111046,6.277840544
05,05001,05001018,ANTIOQUIA,MEDELLÍN,EL PLACER,CENTRO POBLADO,-75.49301645,6.22476175
05,05001,05001019,ANTIOQUIA,MEDELLÍN,EL PLAN,CENTRO POBLADO,-75.51837035,6.204359405
05,05001,05001022,ANTIOQUIA,MEDELLÍN,LA ALDEA,CENTRO POBLADO,-75.70316366,6.342891306
05,05001,05001023,ANTIOQUIA,MEDELLÍN,LA CUCHILLA,CENTRO POBLADO,-75.6535601,6.293513493
05,05001,05001025,ANTIOQUIA,MEDELLÍN,LA PALMA,CENTRO POBLADO,-75.6480765,6.273406098
05,05001,05001027,ANTIOQUIA,MEDELLÍN,LAS PLAYAS,CENTRO POBLADO,-75.64930343,6.284455734
05,05001,05001029,ANTIOQUIA,MEDELLÍN,PIEDRA GORDA,CENTRO POBLADO,-75.49818439,6.234891108
05,05001,05001031,ANTIOQUIA,MEDELLÍN,POTRERITO,CENTRO POBLADO,-75.66790634,6.183075841
05,05001,05001032,ANTIOQUIA,MEDELLÍN,TRAVESÍAS,CENTRO POBLADO,-75.64311277,6.287035647
05,05001,05001033,ANTIOQUIA,MEDELLÍN,URQUITA,CENTRO POBLADO,-75.70145141,6.369324039
05,05001,05001035,ANTIOQUIA,MEDELLÍN,BOQUERÓN,CENTRO POBLADO,-75.65785076,6.315867556
05,05001,05001039,ANTIOQUIA,MEDELLÍN,EL LLANO 1,CENTRO POBLADO,-75.64949216,6.294505904
05,05001,05001040,ANTIOQUIA,MEDELLÍN,EL LLANO,CENTRO POBLADO,-75.50332189,6.198305504
05,05001,05001048,ANTIOQUIA,MEDELLÍN,LA VERDE,CENTRO POBLADO,-75.6390037,6.189957608
05,05001,05001052,ANTIOQUIA,MEDELLÍN,MATASANO,CENTRO POBLADO,-75.49357751,6.258862373
05,05001,05001054,ANTIOQUIA,MEDELLÍN,MATASANO 2,CENTRO POBLADO,-75.50543702,6.267348337
05,05001,05001055,ANTIOQUIA,MEDELLÍN,MAZO,CENTRO POBLADO,-75.49872337,6.248319911
05,05001,05001057,ANTIOQUIA,MEDELLÍN,MEDIA LUNA,CENTRO POBLADO,-75.51600194,6.240247568
05,05001,05001066,ANTIOQUIA,MEDELLÍN,LAS CAMELIAS,CENTRO POBLADO,-75.64337736,6.196729362
05,05002,05002000,ANTIOQUIA,ABEJORRAL,ABEJORRAL,CABECERA MUNICIPAL,-75.4287381,5.789304485
05,05002,05002002,ANTIOQUIA,ABEJORRAL,PANTANILLO,CABECERA CORREGIMIENTO MUNICIPAL,-75.49077728,5.730251957
05,05002,05002004,ANTIOQUIA,ABEJORRAL,NARANJAL - LAS FONDAS,CASERÍO,-75.51416981,5.763411112
05,05002,05002016,ANTIOQUIA,ABEJORRAL,LAS CANOAS,CENTRO POBLADO,-75.42907092,5.782187837
05,05004,05004000,ANTIOQUIA,ABRIAQUÍ,ABRIAQUÍ,CABECERA MUNICIPAL,-76.06470346,6.631806452
05,05004,05004003,ANTIOQUIA,ABRIAQUÍ,POTREROS SECTOR 1,CASERÍO,-76.08939291,6.674479718
05,05021,05021000,ANTIOQUIA,ALEJANDRÍA,ALEJANDRÍA,CABECERA MUNICIPAL,-75.1413329,6.376065676
05,05030,05030000,ANTIOQUIA,AMAGÁ,AMAGÁ,CABECERA MUNICIPAL,-75.70194607,6.038808575
05,05030,05030001,ANTIOQUIA,AMAGÁ,CAMILO C,CENTRO POBLADO,-75.69848799,6.026673146
05,05030,05030003,ANTIOQUIA,AMAGÁ,LA CLARITA,CENTRO POBLADO,-75.69965113,6.068891917
05,05030,05030004,ANTIOQUIA,AMAGÁ,LA FERREIRA,CASERÍO,-75.70927431,6.063386992
05,05030,05030005,ANTIOQUIA,AMAGÁ,LA GUALÍ,CASERÍO,-75.70687009,6.057367563
05,05030,05030006,ANTIOQUIA,AMAGÁ,PIEDECUESTA,CASERÍO,-75.69346024,6.049991763
05,05030,05030011,ANTIOQUIA,AMAGÁ,MINAS,CENTRO POBLADO,-75.70114478,6.077572778
05,05030,05030012,ANTIOQUIA,AMAGÁ,CAMILO C - ALTO DE LA VIRGEN,CABECERA CORREGIMIENTO MUNICIPAL,-75.7031062,6.027291093
05,05030,05030013,ANTIOQUIA,AMAGÁ,PIEDECUESTA - MANI DE LAS CASAS,CASERÍO,-75.69392543,6.0550062
05,05031,05031000,ANTIOQUIA,AMALFI,AMALFI,CABECERA MUNICIPAL,-75.08252428,6.912304726
05,05031,05031004,ANTIOQUIA,AMALFI,PORTACHUELO,CENTRO POBLADO,-74.92644973,6.801677929
05,05034,05034000,ANTIOQUIA,ANDES,ANDES,CABECERA MUNICIPAL,-75.87879189,5.656774852
05,05034,05034001,ANTIOQUIA,ANDES,BUENOS AIRES,CABECERA CORREGIMIENTO MUNICIPAL,-75.83555569,5.682854623
05,05034,05034003,ANTIOQUIA,ANDES,SAN JOSÉ,CABECERA CORREGIMIENTO MUNICIPAL,-75.87035528,5.736089447
05,05034,05034006,ANTIOQUIA,ANDES,SANTA RITA,CABECERA CORREGIMIENTO MUNICIPAL,-75.91733765,5.612618663
05,05034,05034007,ANTIOQUIA,ANDES,TAPARTÓ,CABECERA CORREGIMIENTO MUNICIPAL,-75.96505506,5.700929046
05,05034,05034012,ANTIOQUIA,ANDES,SANTA INÉS,CABECERA CORREGIMIENTO MUNICIPAL,-75.89990388,5.563851219
05,05034,05034014,ANTIOQUIA,ANDES,SAN BARTOLO,CENTRO POBLADO,-75.85341782,5.637615125
05,05034,05034015,ANTIOQUIA,ANDES,LA CHAPARRALA - LA UNIÓN,CABECERA CORREGIMIENTO MUNICIPAL,-75.9244713,5.652848055
05,05036,05036000,ANTIOQUIA,ANGELÓPOLIS,ANGELÓPOLIS,CABECERA MUNICIPAL,-75.71135114,6.109614368
05,05036,05036001,ANTIOQUIA,ANGELÓPOLIS,LA ESTACIÓN,CABECERA CORREGIMIENTO MUNICIPAL,-75.70341613,6.084546907
05,05036,05036006,ANTIOQUIA,ANGELÓPOLIS,SANTA RITA,CASERÍO,-75.70974627,6.099416862
05,05036,05036011,ANTIOQUIA,ANGELÓPOLIS,CIENAGUITA,CASERÍO,-75.74882558,6.119026946
05,05038,05038000,ANTIOQUIA,ANGOSTURA,ANGOSTURA,CABECERA MUNICIPAL,-75.33511597,6.885174591
05,05038,05038008,ANTIOQUIA,ANGOSTURA,LLANOS DE CUIBA,CABECERA CORREGIMIENTO MUNICIPAL,-75.48745897,6.812974967
05,05040,05040000,ANTIOQUIA,ANORÍ,ANORÍ,CABECERA MUNICIPAL,-75.14834842,7.074707669
05,05040,05040002,ANTIOQUIA,ANORÍ,LIBERIA,CABECERA CORREGIMIENTO MUNICIPAL,-74.99885318,7.381643021
05,05040,05040003,ANTIOQUIA,ANORÍ,MONTEFRÍO,CABECERA CORREGIMIENTO MUNICIPAL,-75.14335148,6.952197947
05,05042,05042000,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,CABECERA MUNICIPAL,-75.82707907,6.556533296
05,05042,05042002,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,LAURELES,CASERÍO,-75.94797473,6.490918966
05,05042,05042006,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,EL PESCADO,CABECERA INSPECCIÓN DE POLICÍA,-75.9098292,6.495078301
05,05042,05042007,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,SABANAS,CABECERA CORREGIMIENTO MUNICIPAL,-75.91235907,6.461263314
05,05042,05042008,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,KILOMETRO 2,CASERÍO,-75.84644089,6.560421049
05,05042,05042009,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,PASO REAL,CASERÍO,-75.81821591,6.515186084
05,05044,05044000,ANTIOQUIA,ANZÁ,ANZÁ,CABECERA MUNICIPAL,-75.85444158,6.302658359
05,05044,05044001,ANTIOQUIA,ANZÁ,GUINTAR,CABECERA CORREGIMIENTO MUNICIPAL,-75.95613217,6.302090164
05,05044,05044005,ANTIOQUIA,ANZÁ,LA CEJITA,CABECERA INSPECCIÓN DE POLICÍA,-75.91099095,6.326756818
